epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,190.059,0.38415,0.32089,0.81751,0.99795,1,0.995,0.91911,0.40901,0.35138,0.88039,0.00049905,0.00049905,0.00049905
47,194.174,0.36253,0.292,0.84277,0.99862,1,0.995,0.93712,0.32755,0.31856,0.85213,0.000501032,0.000501032,0.000501032
48,198.329,0.37649,0.31552,0.85437,0.99862,1,0.995,0.93712,0.32755,0.31856,0.85213,0.000502618,0.000502618,0.000502618
49,202.41,0.38334,0.34682,0.85707,0.99747,1,0.995,0.93511,0.33804,0.30203,0.85387,0.000503808,0.000503808,0.000503808
50,206.581,0.35236,0.32205,0.86933,0.99747,1,0.995,0.93511,0.33804,0.30203,0.85387,0.000504602,0.000504602,0.000504602
51,210.679,0.3679,0.31367,0.8461,0.98846,1,0.995,0.95225,0.31523,0.3099,0.84741,0.000505,0.000505,0.000505
52,214.885,0.4025,0.33076,0.83808,0.98846,1,0.995,0.95225,0.31523,0.3099,0.84741,0.000505002,0.000505002,0.000505002
53,218.909,0.34827,0.29672,0.86018,0.98846,1,0.995,0.95225,0.31523,0.3099,0.84741,0.000504608,0.000504608,0.000504608
54,223.079,0.33807,0.27424,0.83424,0.98817,1,0.99422,0.93563,0.32857,0.31948,0.85236,0.000503818,0.000503818,0.000503818
55,227.068,0.33677,0.26485,0.82739,0.98817,1,0.99422,0.93563,0.32857,0.31948,0.85236,0.000502632,0.000502632,0.000502632
56,231.122,0.33478,0.26768,0.81902,0.98817,1,0.99422,0.93563,0.32857,0.31948,0.85236,0.00050105,0.00050105,0.00050105
57,235.479,0.34543,0.33368,0.84182,0.98827,1,0.99022,0.9268,0.36341,0.325,0.8647,0.000499072,0.000499072,0.000499072
58,239.44,0.34343,0.27881,0.83859,0.98827,1,0.99022,0.9268,0.36341,0.325,0.8647,0.000496698,0.000496698,0.000496698
59,243.462,0.3576,0.27469,0.825,0.98827,1,0.99022,0.9268,0.36341,0.325,0.8647,0.000493928,0.000493928,0.000493928
60,247.458,0.31137,0.27144,0.80129,0.98828,1,0.99244,0.94425,0.33508,0.29393,0.85708,0.000490762,0.000490762,0.000490762
61,251.463,0.35392,0.27171,0.84544,0.98828,1,0.99244,0.94425,0.33508,0.29393,0.85708,0.0004872,0.0004872,0.0004872
62,255.429,0.39144,0.30084,0.89025,0.98828,1,0.99244,0.94425,0.33508,0.29393,0.85708,0.000483242,0.000483242,0.000483242
63,259.494,0.31164,0.25017,0.82658,0.98826,1,0.99367,0.94137,0.32329,0.26573,0.85984,0.000478888,0.000478888,0.000478888
64,263.492,0.34374,0.27692,0.84461,0.98826,1,0.99367,0.94137,0.32329,0.26573,0.85984,0.000474138,0.000474138,0.000474138
65,267.464,0.36495,0.27498,0.82761,0.98826,1,0.99367,0.94137,0.32329,0.26573,0.85984,0.000468992,0.000468992,0.000468992
66,271.433,0.35263,0.29013,0.8711,0.98796,1,0.99222,0.94945,0.30706,0.25183,0.85231,0.00046345,0.00046345,0.00046345
67,275.393,0.30362,0.27198,0.80221,0.98796,1,0.99222,0.94945,0.30706,0.25183,0.85231,0.000457512,0.000457512,0.000457512
68,279.344,0.36954,0.29578,0.85094,0.98796,1,0.99222,0.94945,0.30706,0.25183,0.85231,0.000451178,0.000451178,0.000451178
69,283.51,0.3489,0.28479,0.82581,0.98788,1,0.98889,0.93912,0.32219,0.26085,0.85789,0.000444448,0.000444448,0.000444448
70,288.027,0.32956,0.28093,0.81643,0.98788,1,0.98889,0.93912,0.32219,0.26085,0.85789,0.000437322,0.000437322,0.000437322
71,293.109,0.31992,0.25609,0.82042,0.98788,1,0.98889,0.93912,0.32219,0.26085,0.85789,0.0004298,0.0004298,0.0004298
72,297.31,0.31461,0.26535,0.8515,0.98815,1,0.98544,0.92829,0.32844,0.26722,0.86235,0.000421882,0.000421882,0.000421882
73,301.41,0.36447,0.25709,0.85206,0.98815,1,0.98544,0.92829,0.32844,0.26722,0.86235,0.000413568,0.000413568,0.000413568
74,305.529,0.33032,0.27148,0.86699,0.98815,1,0.98544,0.92829,0.32844,0.26722,0.86235,0.000404858,0.000404858,0.000404858
75,309.919,0.31906,0.25351,0.80687,0.98824,1,0.98522,0.95136,0.28511,0.24458,0.84405,0.000395752,0.000395752,0.000395752
76,314.21,0.32221,0.23833,0.82077,0.98824,1,0.98522,0.95136,0.28511,0.24458,0.84405,0.00038625,0.00038625,0.00038625
77,318.63,0.3063,0.27667,0.86072,0.98824,1,0.98522,0.95136,0.28511,0.24458,0.84405,0.000376352,0.000376352,0.000376352
78,322.728,0.31361,0.256,0.87006,0.98826,1,0.98556,0.95987,0.28203,0.2326,0.84205,0.000366058,0.000366058,0.000366058
79,327.154,0.29944,0.22949,0.82666,0.98826,1,0.98556,0.95987,0.28203,0.2326,0.84205,0.000355368,0.000355368,0.000355368
80,331.359,0.31285,0.27203,0.8531,0.98826,1,0.98556,0.95987,0.28203,0.2326,0.84205,0.000344282,0.000344282,0.000344282
81,335.849,0.33542,0.2742,0.86753,0.98828,1,0.99433,0.96798,0.27431,0.23121,0.83814,0.0003328,0.0003328,0.0003328
82,340.004,0.31634,0.26299,0.83275,0.98828,1,0.99433,0.96798,0.27431,0.23121,0.83814,0.000320922,0.000320922,0.000320922
83,344.169,0.2956,0.2309,0.81251,0.98828,1,0.99433,0.96798,0.27431,0.23121,0.83814,0.000308648,0.000308648,0.000308648
84,348.49,0.30086,0.23526,0.85552,0.98871,1,0.995,0.97401,0.26154,0.22032,0.83407,0.000295978,0.000295978,0.000295978
85,352.83,0.26776,0.23552,0.82596,0.98871,1,0.995,0.97401,0.26154,0.22032,0.83407,0.000282912,0.000282912,0.000282912
86,357.07,0.33571,0.2448,0.81086,0.98871,1,0.995,0.97401,0.26154,0.22032,0.83407,0.00026945,0.00026945,0.00026945
87,361.222,0.2762,0.24548,0.84757,0.98871,1,0.995,0.97401,0.26154,0.22032,0.83407,0.000255592,0.000255592,0.000255592
88,365.459,0.30441,0.25082,0.82453,0.99903,1,0.995,0.97204,0.2562,0.20794,0.83276,0.000241338,0.000241338,0.000241338
89,369.759,0.31762,0.26009,0.81056,0.99903,1,0.995,0.97204,0.2562,0.20794,0.83276,0.000226688,0.000226688,0.000226688
90,373.86,0.27818,0.25181,0.81582,0.99903,1,0.995,0.97204,0.2562,0.20794,0.83276,0.000211642,0.000211642,0.000211642
91,378.059,0.25869,0.24928,0.78799,0.99903,1,0.995,0.97204,0.2562,0.20794,0.83276,0.0001962,0.0001962,0.0001962
92,382.209,0.27211,0.25456,0.76942,0.99941,1,0.995,0.96646,0.26225,0.20839,0.83456,0.000180362,0.000180362,0.000180362
93,386.44,0.26545,0.23598,0.80298,0.99941,1,0.995,0.96646,0.26225,0.20839,0.83456,0.000164128,0.000164128,0.000164128
94,390.47,0.25714,0.23126,0.79442,0.99941,1,0.995,0.96646,0.26225,0.20839,0.83456,0.000147498,0.000147498,0.000147498
95,394.899,0.2608,0.23642,0.78823,0.99941,1,0.995,0.96646,0.26225,0.20839,0.83456,0.000130472,0.000130472,0.000130472
96,399.112,0.25255,0.22185,0.7851,0.9994,1,0.995,0.95877,0.27006,0.20521,0.83565,0.00011305,0.00011305,0.00011305
97,403.14,0.26767,0.22198,0.82288,0.9994,1,0.995,0.95877,0.27006,0.20521,0.83565,9.5232e-05,9.5232e-05,9.5232e-05
98,407.117,0.25063,0.22678,0.77858,0.9994,1,0.995,0.95877,0.27006,0.20521,0.83565,7.7018e-05,7.7018e-05,7.7018e-05
99,411.11,0.26619,0.21713,0.75001,0.9994,1,0.995,0.95877,0.27006,0.20521,0.83565,5.8408e-05,5.8408e-05,5.8408e-05
100,415.299,0.2895,0.25225,0.81463,0.9994,1,0.995,0.96136,0.2665,0.20287,0.83377,3.9402e-05,3.9402e-05,3.9402e-05
