epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,220.422,0.33677,0.26485,0.82739,0.98817,1,0.99422,0.93563,0.32857,0.31948,0.85236,0.000502632,0.000502632,0.000502632
56,224.957,0.33478,0.26768,0.81902,0.98817,1,0.99422,0.93563,0.32857,0.31948,0.85236,0.00050105,0.00050105,0.00050105
57,229.393,0.34543,0.33368,0.84182,0.98827,1,0.99022,0.9268,0.36341,0.325,0.8647,0.000499072,0.000499072,0.000499072
58,233.793,0.34343,0.27881,0.83859,0.98827,1,0.99022,0.9268,0.36341,0.325,0.8647,0.000496698,0.000496698,0.000496698
59,237.773,0.3576,0.27469,0.825,0.98827,1,0.99022,0.9268,0.36341,0.325,0.8647,0.000493928,0.000493928,0.000493928
60,241.848,0.31137,0.27144,0.80129,0.98828,1,0.99244,0.94425,0.33508,0.29393,0.85708,0.000490762,0.000490762,0.000490762
61,245.889,0.35392,0.27171,0.84544,0.98828,1,0.99244,0.94425,0.33508,0.29393,0.85708,0.0004872,0.0004872,0.0004872
62,250.007,0.39144,0.30084,0.89025,0.98828,1,0.99244,0.94425,0.33508,0.29393,0.85708,0.000483242,0.000483242,0.000483242
63,254.26,0.31164,0.25017,0.82658,0.98826,1,0.99367,0.94137,0.32329,0.26573,0.85984,0.000478888,0.000478888,0.000478888
64,258.354,0.34374,0.27692,0.84461,0.98826,1,0.99367,0.94137,0.32329,0.26573,0.85984,0.000474138,0.000474138,0.000474138
65,262.406,0.36495,0.27498,0.82761,0.98826,1,0.99367,0.94137,0.32329,0.26573,0.85984,0.000468992,0.000468992,0.000468992
66,266.792,0.35263,0.29013,0.8711,0.98796,1,0.99222,0.94945,0.30706,0.25183,0.85231,0.00046345,0.00046345,0.00046345
67,271.541,0.30362,0.27198,0.80221,0.98796,1,0.99222,0.94945,0.30706,0.25183,0.85231,0.000457512,0.000457512,0.000457512
68,275.762,0.36954,0.29578,0.85094,0.98796,1,0.99222,0.94945,0.30706,0.25183,0.85231,0.000451178,0.000451178,0.000451178
69,279.925,0.3489,0.28479,0.82581,0.98788,1,0.98889,0.93912,0.32219,0.26085,0.85789,0.000444448,0.000444448,0.000444448
70,284.09,0.32956,0.28093,0.81643,0.98788,1,0.98889,0.93912,0.32219,0.26085,0.85789,0.000437322,0.000437322,0.000437322
71,288.191,0.31992,0.25609,0.82042,0.98788,1,0.98889,0.93912,0.32219,0.26085,0.85789,0.0004298,0.0004298,0.0004298
72,292.554,0.31461,0.26535,0.8515,0.98815,1,0.98544,0.92829,0.32844,0.26722,0.86235,0.000421882,0.000421882,0.000421882
73,296.59,0.36447,0.25709,0.85206,0.98815,1,0.98544,0.92829,0.32844,0.26722,0.86235,0.000413568,0.000413568,0.000413568
74,300.416,0.33032,0.27148,0.86699,0.98815,1,0.98544,0.92829,0.32844,0.26722,0.86235,0.000404858,0.000404858,0.000404858
75,304.542,0.31906,0.25351,0.80687,0.98824,1,0.98522,0.95136,0.28511,0.24458,0.84405,0.000395752,0.000395752,0.000395752
76,308.87,0.32221,0.23833,0.82077,0.98824,1,0.98522,0.95136,0.28511,0.24458,0.84405,0.00038625,0.00038625,0.00038625
77,312.963,0.3063,0.27667,0.86072,0.98824,1,0.98522,0.95136,0.28511,0.24458,0.84405,0.000376352,0.000376352,0.000376352
78,317.39,0.31361,0.256,0.87006,0.98826,1,0.98556,0.95987,0.28203,0.2326,0.84205,0.000366058,0.000366058,0.000366058
79,321.625,0.29944,0.22949,0.82666,0.98826,1,0.98556,0.95987,0.28203,0.2326,0.84205,0.000355368,0.000355368,0.000355368
80,325.61,0.31285,0.27203,0.8531,0.98826,1,0.98556,0.95987,0.28203,0.2326,0.84205,0.000344282,0.000344282,0.000344282
81,329.695,0.33542,0.2742,0.86753,0.98828,1,0.99433,0.96798,0.27431,0.23121,0.83814,0.0003328,0.0003328,0.0003328
82,333.94,0.31634,0.26299,0.83275,0.98828,1,0.99433,0.96798,0.27431,0.23121,0.83814,0.000320922,0.000320922,0.000320922
83,338.024,0.2956,0.2309,0.81251,0.98828,1,0.99433,0.96798,0.27431,0.23121,0.83814,0.000308648,0.000308648,0.000308648
84,342.43,0.30086,0.23526,0.85552,0.98871,1,0.995,0.97401,0.26154,0.22032,0.83407,0.000295978,0.000295978,0.000295978
85,346.535,0.26776,0.23552,0.82596,0.98871,1,0.995,0.97401,0.26154,0.22032,0.83407,0.000282912,0.000282912,0.000282912
86,350.74,0.33571,0.2448,0.81086,0.98871,1,0.995,0.97401,0.26154,0.22032,0.83407,0.00026945,0.00026945,0.00026945
