epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.58555,0.835,1.99597,1.12555,0.35849,0.52809,0.33392,0.26449,0.68211,1.81153,1.03083,0,0,0
2,8.93561,0.86341,2.02915,1.06441,0.45347,0.61531,0.45186,0.37056,0.64061,1.6493,1.00759,1.01e-05,1.01e-05,1.01e-05
